Catherine Banner
Catherine Coulter
Catherine George
Cathryn Fox
Cathy Cassidy
Cathy Yardley
Celeste Ng
Charlaine Harris
Charles Babbage
Charles Beach
Charles Beard
Charles Beaumont
Charles Bernard
Charles Brown
Charles Buck
Charles Calverley
Charles Carryl
Charles Chesnutt
Charles Clark
Charles Coffin
Charles Colby
Charles Darwin
Charles Dickens
Charles Diffin
Charles Dobie
Charles Dufresny
Charles Duhigg
Charles Eastman
Charles Eliot
Charles Finlay
Charles Fontenay
Charles Fritch
Charles Garvice
Charles Grant
Charles Greville
Charles Gunnison
Charles Hyne
Charles Ingrid
Charles Kent
Charles King
Charles Kingsley
Charles Klein
Charles Lamb
Charles Leland
Charles Lint
Charles Lyell
Charles Mackay
Charles Macklin
Charles Major
Charles Munn
Charles Orr
Charles Reade
Charles Roberts
Charles Seltzer
Charles Sheffield
Charles Sheldon
Charles Southwell
Charles Stoddard
Charles Stross
Charles Sylvester
Charles Todd
Charles Vet
Charles Warner
Charles Whibley
Charles Whistler
Charles Williams
Charlie Huston
Charlotte Bronte
Charlotte Elizabeth
Charlotte Gilman
Charlotte Herr
Charlotte Tucker
Charlotte Yonge
Charlton Lewis
Chaz Brenchley
Chaz McGee
Chelsea Handler
Chelsea Yarbro
Cheri Scotch
Cherie Priest
Cheryl Strayed
Chester Himes
Chester Steele
China Mieville
Chinua Achebe
Chris Bohjalian
Chris Bunch
Chris Carter
Chris Kuzneski
Chris Ryan
Chris Stewart
Chris Wooding
Christina Dodd
Christina Kline
Christina Rossetti
Christine Barber
Christopher Anvil
Christopher Fowler
Christopher Golden
Christopher Hinz
Christopher Leadem
Christopher Marlowe
Christopher McDougall
Christopher Moore
Christopher Morley
Christopher Paolini
Christopher Pike
Christopher Priest
Christopher Rowe
Christopher Rowley
Christopher Stasheff
Chuck Klosterman
Chuck Palahniuk
Cindi Myers
Clair Hayes
Clara Beede
Clara Burnham
Clara Judson
Clara Laughlin
Clara Viebig
Clarence Day
Clarence Kelland
Clarence Squareman
Clarence Young
Clark Smith
Claude Bragdon
Clayton Emery
Clayton Hamilton
Clement Moore
Clement Shorter
Cleo Coyle
Cleveland Moffett
Cliff Notes
Clifford Simak
Clinton Scollard
Clive Barker
Clive Cussler
Clyde Fitch
Colin Dexter
Colin Forbes
Colin Greenland
Colin Kapp
Colin Powell
Colin Wilson
Colleen McCullough
Coningsby Dawson
Conn Iggulden
Connie Willis
Constance Woolson
Cordwainer Smith
Cormac McCarthy
Cornelia Parker
Cornelius Tacitus
Cory Doctorow
Cosmos Mindeleff
Courtney Cooper
Coventry Patmore
Craig Gardner
Credo Harris
Cristina Henriquez
Curt Benjamin
Cy Warman
Cybill Shepherd
Cyril Burleigh
Cyrus Brady
Cyrus Thomas
Dacre Stoker
Dafydd Hugh
Dale Carnegie
Dallas Sharp
Damien Broderick
Damon Knight
Dan Abnett
Dan Brown
Dan Chernenko
Dan Fante
Dan Fesperman
Dan Parkinson
Dan Poblocki
Dan Simmons
Dana Cameron
Dana Stabenow
Dane Coolidge
Daniel Beard
Daniel Brinton
Daniel Defoe
Daniel Goodsell
Daniel Kahneman
Daniel Kehlmann
Daniel Keyes
Daniel Moran
Daniel Pink
Daniel Silva
Daniel Wise
Danielle Steel
Dante Alighieri
Dante Rossetti
Daphne Maurier
Darrel Bain
Darren Shan
Daryl Gregory
Darynda Jones
Dashiell Hammett
Dave Dryfoos
Dave Duncan
Dave Eggers
Dave Luckett
Dave Smeds
David Allen
David Baldacci
David Belasco
David Bischoff
David Brin
David Coe
David Collins
David Cook
David Cory
David Drake
David Eddings
David Edelman
David Farland
David Feintuch
David Freer
David Gemmell
David Gerrold
David Golemon
David Grann
David Grayson
David Hartwell
David Hewson
David Hume
David Jordan
David Kuzminski
David Lagercrantz
David Langford
David Liss
David Livingstone
David Marusek
David McCullough
David Mitchell
David Moir
David Moody
David Murray
David Peace
David Phillips
David Robbins
David Rosenfelt
David Sedaris
David Sherman
David Wallace
David Weber
David Wellington
David Wilson
David Wingrove
David Zindell
Dawn Cook
Dean Ing
Dean Koontz
Dean Smith
Deb Baker
Debbie Macomber
Deborah Chester
Deborah Donnelly
Deborah Hale
Deborah Harkness
Debra Doyle
Delia Bacon
Demetrius Boulger
Denis Johnson
Dennis Danvers
Dennis Leary
Dennis Lehane
Dennis McKiernan
Dennis Schmidt
Dennis Wheatley
Derek Landy
Derek Paterson
Desiderius Erasmus
Desmond Hall
Devon Monk
Dhan Mukerji
Diana Duncan
Diana Gabaldon
Diana Jones
Diana Orgain
Diane Chamberlain
Diane Duane
Diane Whiteside
Dick Francis
Dillon Wallace
Dinah Craik
Dinesh D'Souza
Dolen Perkins-Valdez
Dominique Lapierre
Dominique Moceanu
Don Delillo
Don Marquis
Don Pendleton
Donald Ferguson
Donald Malcom
Donald Moffit
Donald Westlake
Donna Leon
Donna Tartt
Dora Shorter
Doranna Durgin
Dornford Yates
Dorothy Fisher
Douglas Adams
Douglas Bell
Douglas Coupland
Douglas Dewar
Douglas Hill
Douglas Niles
Douglas Preston
Douglas Rushkoff
Dr Seuss
Duncan Falconer
Duncan Long
Duncan McGeary
Dutton Cook
Eando Binder
Ebenezer Brewer
Eckhart Tolle
Ed Greenwood
Edan Lepucki
Eden Phillpotts
Edgar Burroughs
Edgar Darlington
Edgar Guest
Edgar Jepson
Edgar Masters
Edgar Poe
Edgar Saltus
Edgar Smith
Edgar Wallace
Edison Marshall
Edith Bancroft
Edith Black
Edith Lowry
Edith Nesbit
Edith Price
Edith Wharton
Edmond About
Edmond Hamilton
Edmond Rostand
Edmund Flagg
Edmund Gosse
Edmund Spenser
Edna Ferber
Edna Lyall
Edna Millay
Edric Holmes
Edward Aitken
Edward Barker
Edward Bellamy
Edward Bono
Edward Bryant
Edward Carpenter
Edward Cheyney
Edward Dunsany
Edward Dyson
Edward Eggleston
Edward Ellis
Edward Eyre
Edward Fitzgerald
Edward Gibbon
Edward Gorey
Edward Hale
Edward Hutton
Edward Jones
Edward Lear
Edward Lerner
Edward Peple
Edward Robins
Edward Roe
Edward Rutherfurd
Edward Stratemeyer
Edward Streeter
Edward Thomas
Edward Westcott
Edward White
Edward Whittemore
Edward Wilson
Edward Young
Edwin Abbott
Edwin Arnold
Edwin Robinson
Edwin Sabin
Edwin Sloat
Edwin Waugh
Egerton Ryerson
Egerton Young
Elaine Corvidae
Elaine Cunningham
Elbridge Brooks
Eleanor Abbott
Eleanor Arnason
Eleanor Gates
Eleanor Ingram
Eleanor Porter
Elia Peattie
Elie Wiesel
Elihu Burritt
Elin Hilderbrand
Elinor Glyn
Elinor Lane
Eliot Fintushel
Eliot Gregory
Elisabeth Naughton
Elisha Andrews
Eliza Follen
Eliza Haywood
Eliza Orzeszkowa
Elizabeth Bear
Elizabeth Berg
Elizabeth Boyer
Elizabeth Bright
Elizabeth Browning
Elizabeth Cooper
Elizabeth Duncan
Elizabeth Gaskell
Elizabeth Gilbert
Elizabeth Gilligan
Elizabeth Hand
Elizabeth Haydon
Elizabeth Hoyt
Elizabeth Inchbald
Elizabeth Lowell
Elizabeth Lynn
Elizabeth Miller
Elizabeth Moon
Elizabeth Pennell
Elizabeth Peters
Elizabeth Phelps
Elizabeth Roberts
Elizabeth Robins
Elizabeth Scarborough
Elizabeth Stoddard
Ella Church
Ella Wilcox
Ellaine Alshinn
Ellen Datlow
Ellen Glasgow
Ellen Klages
Ellen Kushner
Ellen Motte
Elliott O'Donnell
Elliott Whitney
Ellis Butler
Ellis Peters
Ellis Wynne
Elmore Leonard
Eloisa James
Emanuel Swedenborg
Emerson Hough
Emil Petaja
Emile Cammaerts
Emile Dillon
Emile Faguet
Emile Gaboriau
Emile Zola
Emilie Richards
Emily Bronte
Emily Dickinson
Emily Giffin
Emily Holt
Emily Mandel
Emily Young
Emma Bull
Emma Donoghue
Emma Dowd
Emma Goldman
Emma Healey
Emma Lazarus
Emma Leslie
Emma Marshall
Emma Sampson
Emma Southworth
Emma Thompson
Emmuska Orczy
Enid Blyton
Enrico Ferri
Eoin Colfer
Eoin McNamee
Erasmus Darwin
Eric Brown
Eric Dickey
Eric Flint
Eric Lustbader
Eric Mackay
Eric Metaxas
Eric Nylund
Eric Russel
Erich Daniken
Erich Remarque
Erik Larson
Erin Kellison
Ernest Bramah
Ernest Favenc
Ernest Hemingway
Ernest Poole
Ernest Renan
Ernest Scott
Ernest Seton
Ernst Hengstenberg
Erskine Childers
Esaias Tegner
Estelle Hurll
Esther Friesner
Ethel Alec-Tweedie
Ethel Dell
Ethel Hueston
Ethel Kelley
Eugene Field
Eugene O'Neill
Eugene Rhodes
Eugene Sue
Eustace Ball
Eva Tappan
Evan Innes
Evelyn Everett-Green
Evelyn Martinengo-Cesaresco
Evelyn Raymond
Evelyn Smith
Evelyn Underhill
Evelyn Waugh
Everett Cole
Fannie Hurst
Fannie Newberry
Fanny Burney
Fanny Kemble
Fay-Cooper Cole
Fergus Hume
Fernando Pessoa
Filson Young
Finley Dunne
Fiona McIntosh
Fletcher Pratt
Flora Steel
Florence Barclay
Florence Coombe
Florence Holbrook
Florence Kelly
Florence Nightingale
Ford Ford
Forrest Ackerman
Frances Burnett
Frances Harper
Frances Havergal
Frances Huard
Frances Little
Frances Montgomery
Francis Bacon
Francis Doughty
Francis Galton
Francis Hawks
Francis Kelley
Francis Lynde
Francis Parkman
Francis Pearson
Francis Rolt-Wheeler
Francis Smith
Francis Thompson
Francis Woodworth
Francois Arouet
Francois Coppee
Francois Rabelais
Frank Boreham
Frank Fox
Frank Harris
Frank Herbert
Frank Long
Frank Munsey
Frank Norris
Frank Packard
Frank Patchin
Frank Pinkerton
Frank Sidgwick
Frank Spearman
Frank Stearns
Frank Stockton
Frank Webster
Franklin Adams
Franz Kafka
Fred Hoyle
Fred Saberhagen
Fred White
Freda Warrington
Frederic Bastiat
Frederic Isham
Frederic Kummer
Frederic Moorman
Frederic Ogg
Frederic Remington
Frederick Bartlett
Frederick Forsyth
Frederick Hamilton
Frederick Lazell
Frederick Marryat
Frederick Moore
Frederick O'Brien
Frederick Ober
Frederick Palmer
Frederick Turner
Frederik Pohl
Fredric Brown
Fredrika Bremer
Friedrich Engels
Friedrich Klinger
Friedrich Motte-Fouque
Friedrich Nietzsche
Friedrich Schiller
Friedrich Trenck
Fritz Leiber
Fyodor Dostoyevsky
Gabriel King
Gabriel Marquez
Gabriella Poole
Gabrielle Jackson
Gaius Catullus
Gaius Tranquillus
Gardner Dozois
Garrard Cherry
Garrett Serviss
Garth Nix
Gary Gibson
Gary Gigax
Gary Paulsen
Gaston Leroux
Gayle Lynds
Gelett Burgess
Gene Brewer
Gene Stratton-Porter
Gene Wolfe
Gentry Lee
Geoff Ryman
Geoffrey Chaucer
